"id","State__id","State__City__id","State__City__Station__id","State__City__Station__lastupdate","State__City__Station__Pollutant_Index__Avg","State__City__Station__Pollutant_Index__Max","State__City__Station__Pollutant_Index__Min","State__City__Station__Pollutant_Index__id"
"","","","","","38","113","12","CO"
"","","","","","25","241","1","OZONE"
"","","","City Railway Station, Bengaluru - KSPCB","08-01-2019 09:00:00","113","165","63","PM10"
"","","","","","67","110","32","NO2"
"","","","","","8","13","5","SO2"
"","","","","","68","96","62","CO"
"","","","Hebbal, Bengaluru - KSPCB","08-01-2019 09:00:00","107","168","46","PM2.5"
"","","","","","109","187","63","PM10"
"","","","","","70","119","40","NO2"
"","","","","","3","5","2","NH3"
"","","","","","11","11","10","SO2"
"","","","","","46","119","33","CO"
"","","","","","9","29","1","OZONE"
"","","","Jayanagar 5th Block, Bengaluru - KSPCB","08-01-2019 09:00:00","122","194","56","PM2.5"
"","","","","","121","173","86","PM10"
"","","","","","NA","NA","NA","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","5","8","3","SO2"
"","","","","","48","158","27","CO"
"","","","","","41","91","19","OZONE"
"","","","Peenya, Bengaluru - CPCB","08-01-2019 09:00:00","84","160","40","PM2.5"
"","","","","","75","119","53","NO2"
"","","","","","17","29","12","NH3"
"","","","","","20","69","2","SO2"
"","","","","","40","85","26","CO"
"","","","Sanegurava Halli, Bengaluru - KSPCB","08-01-2019 09:00:00","77","277","36","PM10"
"","","","","","60","150","26","NO2"
"","","","","","3","4","1","SO2"
"","","","","","21","72","5","CO"
"","","","Silk Board, Bengaluru - KSPCB","08-01-2019 09:00:00","103","248","48","PM2.5"
"","","","","","108","158","80","PM10"
"","","","","","54","79","36","NO2"
"","","","","","4","8","2","NH3"
"","","","","","8","11","4","SO2"
"","","","","","37","60","13","CO"
"","","","","","22","121","6","OZONE"
"","","Chikkaballapur","Chikkaballapur Rural, Chikkaballapur - KSPCB","08-01-2019 09:00:00","146","322","32","PM2.5"
"","","","","","152","401","49","PM10"
"","","","","","63","103","40","NO2"
"","","","","","3","6","2","NH3"
"","","","","","9","17","3","SO2"
"","","","","","42","45","19","CO"
"","","","","","5","30","1","OZONE"
"","","Hubballi","Deshpande Nagar, Hubballi - KSPCB","08-01-2019 09:00:00","91","150","64","PM2.5"
"","","","","","110","158","91","PM10"
"","","","","","35","89","12","NO2"
"","","","","","2","3","2","NH3"
"","","","","","2","2","1","SO2"
"","","","","","33","56","30","CO"
"","","","","","52","70","22","OZONE"
"","","Kalaburgi","Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","08-01-2019 09:00:00","200","331","104","PM2.5"
"","","","","","199","432","119","PM10"
"","","","","","54","165","23","NO2"
"","","","","","4","6","3","NH3"
"","","","","","3","8","1","SO2"
"","","","","","23","129","14","CO"
"","","","","","23","53","5","OZONE"
"","Kerala","Thiruvananthapuram","Plammoodu, Thiruvananthapuram - Kerala PCB","08-01-2019 09:00:00","83","130","49","PM2.5"
"","","","","","81","114","59","PM10"
"","","","","","11","48","1","NO2"
"","","","","","2","2","1","NH3"
"","","","","","33","68","1","SO2"
"","","","","","NA","NA","NA","CO"
"","","","","","47","119","34","OZONE"
"","Madhya Pradesh","Damoh","Shrivastav Colony, Damoh - MPPCB","08-01-2019 09:00:00","316","377","227","PM2.5"
"","","","","","174","250","112","PM10"
"","","","","","18","18","18","NO2"
"","","","","","36","64","28","CO"
"","","Dewas","Bhopal Chauraha, Dewas - MPPCB","08-01-2019 09:00:00","323","395","270","PM2.5"
"","","","","","201","413","144","PM10"
"","","","","","50","77","39","NO2"
"","","","","","8","10","6","NH3"
"","","","","","7","11","1","SO2"
"","","","","","18","48","3","CO"
"","","","","","23","29","20","OZONE"
"","","Mandideep","Sector-D Industrial Area, Mandideep - MPPCB","08-01-2019 09:00:00","284","369","145","PM2.5"
"","","","","","184","269","128","PM10"
"","","","","","31","70","12","NO2"
"","","","","","6","12","4","NH3"
"","","","","","25","33","13","SO2"
"","","","","","56","70","24","CO"
"","","","","","17","96","11","OZONE"
"","","Pithampur","Sector-2 Industrial Area, Pithampur - MPPCB","08-01-2019 09:00:00","347","417","293","PM2.5"
"","","","","","229","342","172","PM10"
"","","","","","21","57","9","NO2"
"","","","","","5","9","4","NH3"
"","","","","","14","50","5","SO2"
"","","","","","42","66","32","CO"
"","","","","","52","107","23","OZONE"
"","","Ratlam","Shasthri Nagar, Ratlam - IPCA Lab","08-01-2019 09:00:00","267","311","201","PM2.5"
"","","","","","157","215","129","PM10"
"","","","","","8","9","7","SO2"
"","","Satna","Bandhavgar Colony, Satna - MPPCB","08-01-2019 09:00:00","13","29","4","PM2.5"
"","","","","","115","151","69","PM10"
"","","","","","55","58","51","SO2"
"","","","","","94","108","89","CO"
"","","Singrauli","Vindhyachal STPS, Singrauli - MPPCB","08-01-2019 09:00:00","356","403","292","PM2.5"
"","","","","","239","335","170","PM10"
"","","","","","2","4","1","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","15","19","6","SO2"
"","","","","","15","16","8","CO"
"","","","","","28","169","15","OZONE"
"","","Ujjain","Mahakaleshwar Temple, Ujjain - MPPCB","08-01-2019 09:00:00","304","378","190","PM2.5"
"","","","","","169","246","128","PM10"
"","","","","","40","75","20","NO2"
"","","","","","9","13","6","NH3"
"","","","","","5","10","1","SO2"
"","","","","","54","101","32","CO"
"","","","","","66","145","9","OZONE"
"","Maharashtra","Aurangabad","More Chowk Waluj, Aurangabad - MPCB","08-01-2019 09:00:00","80","162","52","PM2.5"
"","","","","","95","144","71","PM10"
"","","","","","22","25","21","NO2"
"","","","","","5","5","5","NH3"
"","","","","","10","19","1","SO2"
"","","","","","38","49","23","CO"
"","","","","","71","144","19","OZONE"
"","","Chandrapur","Chandrapur, Chandrapur - MPCB","08-01-2019 09:00:00","239","318","172","PM2.5"
"","","","","","165","276","119","PM10"
"","","","","","30","84","18","NO2"
"","","","","","5","7","4","NH3"
"","","","","","11","18","9","SO2"
"","","","","","7","34","2","CO"
"","","","","","9","11","5","OZONE"
"","","","MIDC Khutala, Chandrapur - MPCB","08-01-2019 09:00:00","87","136","64","PM2.5"
"","","","","","105","143","80","PM10"
"","","","","","60","78","46","NO2"
"","","","","","3","3","2","NH3"
"","","","","","6","12","2","SO2"
"","","","","","4","6","3","CO"
"","","Mumbai","Bandra, Mumbai - MPCB","08-01-2019 09:00:00","109","270","58","PM2.5"
"","","","","","159","305","97","PM10"
"","","","","","75","154","40","NO2"
"","","","","","44","74","22","SO2"
"","","","","","123","143","75","CO"
"","","","","","45","71","32","OZONE"
"","","Nagpur","Opp GPO Civil Lines, Nagpur - MPCB","08-01-2019 09:00:00","168","280","75","PM2.5"
"","","","","","117","148","81","PM10"
"","","","","","59","140","20","NO2"
"","","","","","18","49","8","NH3"
"","","","","","28","132","2","SO2"
"","","","","","36","116","24","CO"
"","","","","","93","120","27","OZONE"
"","","Nashik","Gangapur Road, Nashik - MPCB","08-01-2019 09:00:00","97","205","41","PM2.5"
"","","","","","97","136","59","PM10"
"","","","","","83","151","39","NO2"
"","","","","","9","13","6","NH3"
"","","","","","27","106","4","SO2"
"","","","","","66","115","19","CO"
"","","","","","29","178","5","OZONE"
"","","Navi Mumbai","Airoli, Navi Mumbai - MPCB","08-01-2019 09:00:00","125","325","59","PM10"
"","","","","","46","51","43","SO2"
"","","","","","99","101","95","CO"
"","","Pune","Karve Road, Pune - MPCB","08-01-2019 09:00:00","197","351","85","PM2.5"
"","","","","","170","330","83","PM10"
"","","","","","16","24","7","NO2"
"","","","","","84","109","39","SO2"
"","","","","","8","108","3","CO"
"","","","","","11","12","11","OZONE"
"","","Solapur","Solapur, Solapur - MPCB","08-01-2019 09:00:00","125","273","72","PM2.5"
"","","","","","148","361","99","PM10"
"","","","","","87","118","59","NO2"
"","","","","","13","14","12","SO2"
"","","","","","65","112","46","CO"
"","","","","","39","82","12","OZONE"
"","","Thane","Pimpleshwar Mandir, Thane - MPCB","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","PM10"
"","","","","","NA","NA","NA","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","NA","NA","NA","SO2"
"","","","","","NA","NA","NA","CO"
"","","","","","NA","NA","NA","OZONE"
"","Odisha","Brajrajnagar","GM Office, Brajrajnagar - OSPCB","08-01-2019 09:00:00","270","366","79","PM2.5"
"","","","","","164","293","58","PM10"
"","","","","","36","59","14","NO2"
"","","","","","12","30","3","NH3"
"","","","","","19","21","17","SO2"
"","","","","","116","118","106","CO"
"","","","","","6","16","3","OZONE"
"","","Talcher","Talcher Coalfields,Talcher - OSPCB","08-01-2019 09:00:00","257","401","84","PM2.5"
"","","","","","288","500","165","PM10"
"","","","","","7","11","2","NO2"
"","","","","","2","2","1","NH3"
"","","","","","41","84","27","SO2"
"","","","","","124","138","104","CO"
"","","","","","4","19","2","OZONE"
"","Punjab","Amritsar","Golden Temple, Amritsar - PPCB","08-01-2019 09:00:00","49","73","20","PM2.5"
"","","","","","68","94","48","PM10"
"","","","","","35","47","14","NO2"
"","","","","","2","3","1","NH3"
"","","","","","3","3","2","SO2"
"","","","","","6","13","4","OZONE"
"","","Bathinda","Hardev Nagar, Bathinda - PPCB","08-01-2019 09:00:00","69","94","51","PM2.5"
"","","","","","69","99","23","PM10"
"","","","","","25","33","20","NO2"
"","","","","","12","15","8","SO2"
"","","","","","34","64","17","CO"
"","","Jalandhar","Civil Line, Jalandhar - PPCB","08-01-2019 09:00:00","83","178","49","PM2.5"
"","","","","","77","125","48","PM10"
"","","","","","24","24","24","NO2"
"","","","","","6","6","6","NH3"
"","","","","","9","24","5","SO2"
"","","","","","32","98","5","CO"
"","","","","","3","22","2","OZONE"
"","","Khanna","Kalal Majra, Khanna - PPCB","08-01-2019 09:00:00","54","78","28","PM2.5"
"","","","","","77","110","37","PM10"
"","","","","","30","45","19","NO2"
"","","","","","2","3","2","NH3"
"","","","","","17","27","11","SO2"
"","","","","","22","40","12","CO"
"","","","","","1","4","1","OZONE"
"","","Ludhiana","Punjab Agricultural University, Ludhiana - PPCB","08-01-2019 09:00:00","45","82","29","PM2.5"
"","","","","","79","115","48","PM10"
"","","","","","14","18","13","NO2"
"","","","","","11","11","10","NH3"
"","","","","","5","17","5","OZONE"
"","","Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","08-01-2019 09:00:00","108","239","30","PM2.5"
"","","","","","114","191","42","PM10"
"","","","","","24","24","23","NO2"
"","","","","","4","4","4","NH3"
"","","","","","7","15","4","SO2"
"","","","","","61","72","28","CO"
"","","","","","14","43","13","OZONE"
"","","Patiala","Model Town, Patiala - PPCB","08-01-2019 09:00:00","NA","NA","NA","PM2.5"
"","","","","","NA","NA","NA","PM10"
"","","","","","NA","NA","NA","NO2"
"","","","","","NA","NA","NA","NH3"
"","","","","","NA","NA","NA","SO2"
"","","","","","37","44","17","CO"
"","","","","","4","14","3","OZONE"
"","","Rupnagar","Ratanpura, Rupnagar - PPCB","08-01-2019 09:00:00","86","148","42","PM2.5"
"","","","","","92","143","52","PM10"
"","","","","","16","18","15","NO2"
"","","","","","9","10","8","SO2"
"","","","","","27","31","18","CO"
"","Rajasthan","Ajmer","Civil Lines,  Ajmer - RSPCB","08-01-2019 09:00:00","120","230","58","PM2.5"
"","","","","","122","173","102","PM10"
"","","","","","43","100","18","NO2"
"","","","","","8","11","6","NH3"
"","","","","","8","13","2","SO2"
"","","","","","36","111","15","CO"
